circle,prov_sub,act_sub,att_sub,date
AP,112478,96629,94888,2025-06-24
AS,101643,86152,85974,2025-06-24
BR,115771,91645,91548,2025-06-24
CH,106961,86455,82693,2025-06-24
DL,112460,99285,96510,2025-06-24
GJ,118405,88868,88741,2025-06-24
HP,117155,92845,90872,2025-06-24
HR,110607,89548,85786,2025-06-24
JK,103481,90503,86654,2025-06-24
KA,111619,90210,85954,2025-06-24
KL,98215,85442,82550,2025-06-24
KO,95353,83726,80453,2025-06-24
MH,116663,102960,102057,2025-06-24
MP,99753,79661,76184,2025-06-24
MU,106295,91510,90445,2025-06-24
NE,107298,93352,92562,2025-06-24
OR,119719,104711,104273,2025-06-24
PB,117937,100938,98101,2025-06-24
RJ,98913,86813,82651,2025-06-24
TN,100559,86462,86061,2025-06-24
UE,97461,80900,79100,2025-06-24
UW,111754,94253,92186,2025-06-24
WB,95567,75981,74371,2025-06-24
