circle,prov_sub,act_sub,att_sub,date
AP,106889,89342,87132,2025-06-23
AS,94689,84638,82224,2025-06-23
BR,109628,92812,90217,2025-06-23
CH,97482,73889,71484,2025-06-23
DL,97986,87008,85593,2025-06-23
GJ,113340,99390,96253,2025-06-23
HP,108441,89391,88920,2025-06-23
HR,104397,79549,78946,2025-06-23
JK,107276,81154,78566,2025-06-23
KA,112913,92030,88040,2025-06-23
KL,112767,84743,80541,2025-06-23
KO,108892,88289,84492,2025-06-23
MH,112532,97878,95009,2025-06-23
MP,95208,85250,83961,2025-06-23
MU,101845,90573,88899,2025-06-23
NE,107399,87267,83658,2025-06-23
OR,96898,86035,85393,2025-06-23
PB,95255,79509,76047,2025-06-23
RJ,114399,98806,96941,2025-06-23
TN,105571,84178,83997,2025-06-23
UE,91846,81575,78374,2025-06-23
UW,90735,78123,77775,2025-06-23
WB,106568,90503,86147,2025-06-23
