circle,date,4g_throughput,5g_throughput,cssr,dsr
AP,2025-06-22,20.48,62.31,98.73,95.47
AS,2025-06-22,17.05,110.52,96.76,95.22
BH,2025-06-22,24.88,101.72,96.05,95.17
CH,2025-06-22,12.01,61.89,99.23,92.93
DL,2025-06-22,18.81,94.32,97.8,94.42
GU,2025-06-22,15.81,51.64,97.59,96.35
HP,2025-06-22,14.95,100.79,96.99,95.8
HR,2025-06-22,13.08,109.88,97.86,97.25
JK,2025-06-22,16.37,58.3,97.48,96.97
KA,2025-06-22,21.3,98.34,98.81,96.2
KL,2025-06-22,22.5,85.66,96.77,95.03
KO,2025-06-22,23.92,119.17,97.53,91.45
MH,2025-06-22,12.21,100.32,98.73,99.21
MP,2025-06-22,23.03,60.44,98.27,93.3
MU,2025-06-22,17.55,58.45,96.15,92.44
NE,2025-06-22,21.08,54.89,95.26,92.05
OR,2025-06-22,20.58,106.78,96.85,92.53
PB,2025-06-22,15.22,59.85,99.15,97.57
RJ,2025-06-22,15.71,71.79,96.94,90.68
TN,2025-06-22,10.4,100.14,96.53,92.96
UE,2025-06-22,10.17,79.56,95.44,96.99
UW,2025-06-22,18.72,107.7,97.51,93.45
