circle,date,4g_throughput,5g_throughput,cssr,dcr
AP,2025-06-24,14.55,54.29,97.15,95.73
AS,2025-06-24,16.13,102.45,98.55,93.04
BH,2025-06-24,17.14,57.91,97.6,93.8
CH,2025-06-24,15.11,81.28,96.36,91.02
DL,2025-06-24,11.57,76.02,98.84,91.38
GU,2025-06-24,20.76,88.9,99.05,95.46
HP,2025-06-24,21.3,109.96,95.17,98.48
HR,2025-06-24,22.01,66.75,96.18,96.33
JK,2025-06-24,11.52,107.15,99.61,97.63
KA,2025-06-24,20.87,118.16,97.87,93.33
KL,2025-06-24,12.68,93.59,99.54,98.63
KO,2025-06-24,22.6,63.19,95.33,94.06
MH,2025-06-24,15.97,93.83,96.41,96.33
MP,2025-06-24,14.41,112.01,98.29,96.82
MU,2025-06-24,22.78,88.3,99.87,96.54
NE,2025-06-24,24.06,114.26,97.48,96.32
OR,2025-06-24,17.15,92.49,98.08,97.02
PB,2025-06-24,15.58,107.74,99.0,90.73
RJ,2025-06-24,16.22,87.39,95.25,95.82
TN,2025-06-24,24.4,113.79,97.06,95.94
UE,2025-06-24,20.16,86.4,95.55,93.0
UW,2025-06-24,17.84,80.69,97.08,96.29
